Словоформа,Частота (ipm),Капитализация
американским,10.511024,lower
американскими,5.285544,lower
американских,28.950363,lower
американского,26.187466,lower
американской,29.040458,lower
американском,7.748126,lower
американскую,5.195449,lower
американцев,14.895623,lower
американцы,19.820788,lower
Америке,36.848647,higher
Америки,32.974584,higher
Америку,19.430379,higher
аминокислот,11.862441,lower
аминокислоты,10.480993,lower
Ан,5.375638,higher
АН,25.767025,higher
Анализ,11.922504,higher
анализ,54.717388,lower
анализа,53.305908,lower
анализе,9.550016,lower
анализировать,7.297654,lower
анализу,10.03052,lower
анализы,5.345607,lower
аналитик,8.61904,lower
аналитики,8.859292,lower
аналитиков,6.126425,lower
аналог,7.718095,lower
аналоги,5.675953,lower
аналогии,8.769197,lower
аналогичные,6.306614,lower
аналогов,7.237591,lower
Анастасия,9.610079,higher
Анатолий,25.0763,higher
Анатолия,8.288693,higher
Ангел,5.555827,higher
ангел,14.625339,lower
ангела,8.048441,lower
Ангелина,5.165418,higher
ангелов,7.718095,lower
ангелы,7.207559,lower
Англии,32.073639,higher
английские,6.246551,lower
английский,24.625828,lower
английским,7.41778,lower
английских,8.048441,lower
английского,21.65271,lower
английской,9.790268,lower
английском,17.65852,lower
англичан,6.366677,lower
англичане,7.838221,lower
Англию,6.967307,higher
Англия,7.087433,higher
Андерс,8.82926,higher
Андреева,5.01526,higher
Андреевич,13.694363,higher
Андреевна,16.066851,higher
Андреем,11.321874,higher
Андрей,118.173942,higher
Андрею,10.511024,higher
Андрея,44.296459,higher
Андрюша,5.40567,higher
анекдот,10.150646,lower
анекдоты,5.375638,lower
Анжела,6.42674,higher
Анна,53.125719,higher
Анне,8.378788,higher
Анну,6.456772,higher
Анны,21.532584,higher
Анонимус,5.585859,higher
Анри,5.61589,higher
ансамбль,5.555827,lower
античной,7.988378,lower
античности,5.555827,lower
античных,6.156457,lower
Антон,42.975073,higher
Антона,10.360867,higher
Антонина,9.039481,higher
Антонио,8.288693,higher
антропологии,7.267622,lower
Анфилогов,6.246551,higher
Анче,8.949386,higher
Анька,5.165418,higher
Аня,25.196426,higher
аплодисменты,5.796079,lower
апостол,5.255512,lower
апостола,6.066362,lower
аппарат,27.418757,lower
аппарата,22.793906,lower
аппаратов,11.261812,lower
аппаратом,5.165418,lower
аппаратуры,5.856142,lower
аппараты,7.177528,lower
аппетит,5.045292,lower
апреле,22.283371,lower
апрель,6.096394,lower
апреля,66.669924,lower
аргумент,8.679103,lower
аргументы,10.931465,lower
аренду,8.82926,lower
арене,5.645921,lower
арест,6.096394,lower
ареста,10.360867,lower
арестовали,11.081623,lower
арестован,9.309764,lower
Аркадий,20.000977,higher
Аркадия,7.237591,higher
Арктике,6.576898,higher
Арктики,7.808189,higher
Армении,6.787118,higher
армией,7.357717,lower
Армии,5.105355,higher
армии,77.21098,lower
армий,5.165418,lower
армию,23.845009,lower
армия,19.910883,lower
аромат,12.733355,lower
Арсений,35.407135,higher
Арсению,5.255512,higher
Арсения,12.282882,higher
Артем,14.985717,higher
артист,11.111654,lower
артиста,7.267622,lower
артистов,10.120615,lower
артисты,8.558977,lower
Артур,6.847181,higher
архей,7.748126,lower
археологи,8.709134,lower
археологии,9.129575,lower
археологических,7.357717,lower
археологов,5.856142,lower
архив,14.054741,lower
архива,14.174867,lower
архивах,5.225481,lower
архиве,10.721245,lower
архивных,5.105355,lower
архиепископ,6.907244,lower
архиепископа,5.82611,lower
архитектор,13.153796,lower
архитектора,10.42093,lower
архитекторов,5.465733,lower
архитектором,5.435701,lower
архитектура,6.877213,lower
архитектуре,7.718095,lower
архитектурных,5.465733,lower
архитектуры,22.46356,lower
Аскар,5.40567,higher
аспект,10.360867,lower
аспекте,5.525796,lower
аспектов,6.636961,lower
аспекты,15.286032,lower
ассортимент,5.105355,lower
ассоциации,15.736505,lower
ассоциаций,5.61589,lower
ассоциируется,5.135386,lower
астрономии,7.898284,lower
астрономы,7.267622,lower
асфальт,13.904583,lower
асфальте,6.81715,lower
Аська,6.246551,higher
Ася,17.298142,higher
атаки,12.493103,lower
атаку,8.378788,lower
ателье,5.40567,lower
атмосфера,14.625339,lower
атмосфере,18.829749,lower
атмосферу,22.103182,lower
атмосферы,21.65271,lower
атом,9.099544,lower
атома,9.519985,lower
атомного,5.555827,lower
атомной,15.736505,lower
атомных,7.658032,lower
атомов,16.63745,lower
атомы,11.051591,lower
АТФ,9.42989,higher
аудиторией,5.045292,lower
аудитории,25.797056,lower
аудиторию,9.940426,lower
аудитория,7.567937,lower
Афанасьевич,12.132725,higher
Афганистан,5.525796,higher
Афганистане,7.447811,higher
африканских,5.225481,lower
Африке,17.778646,higher
Африки,20.301292,higher
Африку,5.675953,higher
Ах,43.065167,higher
ах,8.799229,lower
Ахмад,5.225481,higher
Ахматова,18.829749,higher
Ахматовой,19.580536,higher
аэропорт,9.459922,lower
аэропорта,12.012599,lower
аэропорту,11.051591,lower
АЭС,9.399859,higher
Б,12.463071,higher
б,66.279515,lower
Б.,80.904854,higher
б.,6.967307,lower
Ба,48.651026,higher
баб,7.267622,lower
Баба,7.387748,higher
баба,25.166395,lower
бабка,13.694363,lower
бабки,11.682252,lower
бабочек,6.516835,lower
бабочки,7.447811,lower
бабу,6.666992,lower
Бабушка,26.728033,higher
бабушка,70.60405,lower
бабушке,14.054741,lower
бабушки,28.229607,lower
бабушкой,11.622189,lower
бабушку,12.222819,lower
бабы,15.886662,lower
Баев,13.784457,higher
баз,6.787118,lower
база,15.64641,lower
базар,7.357717,lower
базе,33.244868,lower
базовые,6.396709,lower
базовых,9.369827,lower
базой,6.366677,lower
базу,16.487292,lower
базы,30.722222,lower
бактерии,23.424568,lower
бактерий,30.992505,lower
Баку,9.099544,higher
бал,5.105355,lower
баланс,11.83241,lower
баланса,6.516835,lower
балет,6.787118,lower
балета,7.057402,lower
балкон,11.291843,lower
балкона,6.757087,lower
балконе,8.949386,lower
баллов,10.060552,lower
бандитов,5.82611,lower
бандиты,5.946236,lower
бане,6.246551,lower
бани,6.907244,lower
Банк,8.558977,higher
банк,23.484631,lower
Банка,9.159607,higher
банка,35.317041,lower
банкам,5.585859,lower
банками,6.787118,lower
банках,8.108504,lower
банке,13.694363,lower
банки,31.473009,lower
банков,22.073151,lower
банковской,7.297654,lower
банку,19.340284,lower
баню,7.778158,lower
бар,10.240741,lower
барабан,6.096394,lower
баре,6.366677,lower
барокко,8.498914,lower
барьер,6.096394,lower
бассейн,11.051591,lower
бассейна,10.060552,lower
бассейне,6.096394,lower
батареи,7.267622,lower
батюшка,10.961497,lower
Бах,29.941403,higher
Баха,10.751276,higher
Бахтина,5.045292,higher
башне,6.066362,lower
башни,19.970946,lower
башню,8.138536,lower
башня,10.450961,lower
Беатрис,5.525796,higher
бег,5.61589,lower
бега,5.135386,lower
бегает,6.306614,lower
бегал,9.610079,lower
бегала,6.727055,lower
бегали,8.288693,lower
бегать,13.394048,lower
бегают,6.456772,lower
Бегичев,5.465733,higher
бегом,6.847181,lower
бегство,6.066362,lower
бегу,8.769197,lower
бегут,10.240741,lower
бед,6.126425,lower
Беда,5.285544,higher
беда,24.235418,lower
беде,5.195449,lower
бедная,6.847181,lower
бедного,5.40567,lower
бедной,6.516835,lower
бедности,8.949386,lower
бедность,5.82611,lower
бедные,8.01841,lower
Бедный,6.907244,higher
бедный,8.82926,lower
бедным,5.555827,lower
бедных,13.814489,lower
бедра,8.318725,lower
беду,9.910394,lower
беды,14.325024,lower
бежал,19.880851,lower
бежала,8.498914,lower
бежали,13.724394,lower
бежать,25.857119,lower
беженцев,5.585859,lower
бежит,15.556316,lower
Без,63.306396,higher
без,875.898651,lower
безвозвратно,5.705984,lower
безжалостно,6.997339,lower
беззвучно,8.82926,lower
безнадежно,9.279733,lower
безо,9.910394,lower
безоговорочно,5.195449,lower
безопасности,84.208319,lower
безопасность,17.928804,lower
безошибочно,5.525796,lower
безразлично,5.886173,lower
безумие,6.907244,lower
безумия,6.156457,lower
безумно,8.348756,lower
Безусловно,11.682252,higher
безусловно,40.482458,lower
безуспешно,6.21652,lower
Белая,6.246551,higher
белая,22.163245,lower
белка,20.511513,lower
белки,24.896111,lower
белков,27.839198,lower
Белла,9.369827,higher
бело,6.096394,lower
Белого,12.793418,higher
белого,28.529922,lower
белое,17.538394,lower
Белой,6.036331,higher
белой,39.040947,lower
белок,17.388237,lower
белом,26.217497,lower
Белоруссии,11.472032,higher
белую,14.83556,lower
Белые,6.186488,higher
белые,45.467687,lower
Белый,16.186977,higher
белый,45.918159,lower
белым,24.085261,lower
белыми,19.340284,lower
белых,39.371293,lower
белье,18.85978,lower
белья,8.799229,lower
Бемби,9.580048,higher
бензин,8.22863,lower
бензина,6.366677,lower
Берг,9.309764,higher
Берга,6.757087,higher
берег,39.281199,lower
берега,37.50934,lower
берегам,7.537906,lower
берегах,7.988378,lower
берегов,14.805528,lower
берегу,80.42435,lower
бережно,13.964646,lower
беременная,5.375638,lower
беременности,10.090583,lower
берет,32.88449,lower
берется,7.41778,lower
беречь,5.135386,lower
бери,9.249701,lower
Берлин,12.012599,higher
Берлина,8.949386,higher
Берлине,12.222819,higher
беру,8.438851,lower
берут,21.05208,lower
берутся,5.435701,lower
берёт,5.465733,lower
бес,5.315575,lower
бесед,5.946236,lower
беседа,12.162756,lower
беседе,7.748126,lower
беседу,10.601119,lower
беседы,19.490442,lower
бесконечно,25.0763,lower
бесконечное,5.315575,lower
бесконечной,6.967307,lower
бесконечности,6.546866,lower
бесконечные,9.970457,lower
бесконечный,5.075323,lower
бесконечных,5.195449,lower
бесплатно,24.025198,lower
бесплатный,5.255512,lower
беспокоит,5.195449,lower
беспокоиться,6.066362,lower
беспокойство,7.207559,lower
бесполезно,10.42093,lower
беспомощно,5.255512,lower
бесследно,7.297654,lower
бессмысленно,14.23493,lower
бесшумно,7.177528,lower
бета,5.40567,lower
Библии,10.150646,higher
библиотек,8.108504,lower
библиотека,15.886662,lower
библиотеке,18.709623,lower
библиотеки,27.148474,lower
библиотеку,13.84452,lower
Библия,5.736016,higher
Бибо,6.156457,higher
бизнес,74.778428,lower
бизнеса,51.534049,lower
бизнесе,9.519985,lower
бизнесмен,5.225481,lower
бизнесом,9.640111,lower
бизнесу,6.666992,lower
бил,10.601119,lower
била,5.105355,lower
билет,25.917182,lower
билета,6.456772,lower
билетов,8.078473,lower
билеты,19.550505,lower
били,11.802378,lower
бинокль,5.796079,lower
биографии,22.343434,lower
биографию,7.267622,lower
биография,7.898284,lower
биолог,6.006299,lower
биологи,7.628,lower
биологии,23.06419,lower
биологические,6.546866,lower
биологических,18.739654,lower
биологического,6.666992,lower
биологической,8.949386,lower
биосферы,5.856142,lower
бирже,5.315575,lower
битва,7.447811,lower
битве,7.177528,lower
битвы,11.411969,lower
бить,19.700662,lower
бишь,5.736016,lower
благ,7.177528,lower
блага,9.069512,lower
Благо,5.075323,higher
благо,24.986206,lower
благодарен,6.276583,lower
благодарности,9.610079,lower
благодарность,12.553166,lower
благодарностью,7.447811,lower
Благодаря,33.395025,higher
благодаря,119.465296,lower
благополучие,6.066362,lower
благополучия,8.318725,lower
благополучно,17.538394,lower
благословение,6.096394,lower
благословил,5.045292,lower
благосостояния,6.546866,lower
Бланк,5.135386,higher
бледно,6.666992,lower
блеск,8.709134,lower
блеска,7.41778,lower
блеском,6.967307,lower
блестяще,6.967307,lower
блестящие,6.186488,lower
блестящий,5.525796,lower
ближайшего,9.279733,lower
ближайшее,18.409308,lower
ближайшей,9.850331,lower
ближайшем,11.502063,lower
ближайшие,23.995166,lower
ближайший,8.589008,lower
ближайших,11.772347,lower
Ближе,7.267622,higher
ближе,71.835342,lower
ближнего,6.937276,lower
Ближнем,5.976268,higher
близ,16.667481,lower
близка,9.099544,lower
близки,9.700174,lower
близкие,15.976757,lower
близкий,10.300804,lower
близким,11.502063,lower
близкими,7.147496,lower
близких,25.586836,lower
близко,45.707939,lower
близкого,10.210709,lower
близкое,5.675953,lower
близкой,6.576898,lower
близок,11.502063,lower
близости,16.066851,lower
близость,9.940426,lower
блин,10.060552,lower
Блок,16.667481,higher
блок,12.222819,lower
Блока,13.964646,higher
блока,10.901434,lower
блоки,5.585859,lower
блокнот,7.658032,lower
блоков,7.868252,lower
блондинка,5.946236,lower
блюд,7.898284,lower
блюда,10.150646,lower
блюдо,12.823449,lower
бля,5.195449,lower
блядь,5.495764,lower
Боб,6.666992,higher
Бог,135.502116,higher
бог,39.371293,lower
Бога,90.755185,higher
бога,21.562615,lower
богам,6.787118,lower
богатая,5.045292,lower
богатого,6.006299,lower
богатой,9.519985,lower
богатства,13.123764,lower
богатство,14.625339,lower
богатые,11.892473,lower
богатый,10.360867,lower
богатым,8.288693,lower
богатых,17.718583,lower
Богданов,6.21652,higher
Боге,6.336646,higher
боги,9.42989,lower
богов,15.826599,lower
Богом,30.301781,higher
богом,6.606929,lower
Богоматери,5.916205,higher
Богородицы,11.02156,higher
богослужения,6.757087,lower
Богу,46.668947,higher
богу,22.373466,lower
бодро,10.360867,lower
боевиков,5.886173,lower
боевой,14.054741,lower
боевые,9.700174,lower
боевых,15.04578,lower
Боже,25.406647,higher
боже,6.516835,lower
Божией,11.862441,higher
Божий,15.376127,higher
божий,7.327685,lower
Божия,6.877213,higher
Божьего,6.066362,higher
Божьей,6.21652,higher
Божья,5.045292,higher
бои,6.997339,lower
боится,21.592647,lower
боишься,6.937276,lower
бой,19.700662,lower
бойся,12.583197,lower
бойтесь,5.856142,lower
бойцов,7.507874,lower
бойцы,5.195449,lower
бок,27.959324,lower
бока,7.267622,lower
бокал,9.399859,lower
бокам,8.198599,lower
боковой,9.369827,lower
боком,13.574237,lower
боку,12.372977,lower
Более,74.388019,higher
более,913.858464,lower
болеет,5.345607,lower
болезней,18.709623,lower
болезненно,7.387748,lower
болезни,51.203703,lower
болезнь,30.632127,lower
болезнью,9.760237,lower
болезнями,5.075323,lower
болел,7.147496,lower
болела,7.477843,lower
болен,6.847181,lower
болеть,7.327685,lower
боли,44.626805,lower
болит,14.385087,lower
болота,6.276583,lower
болото,7.327685,lower
боль,43.72586,lower
больная,5.01526,lower
больница,6.396709,lower
больнице,29.611056,lower
больницу,25.46671,lower
больницы,23.694851,lower
больно,42.284348,lower
больного,17.05789,lower
больной,18.289182,lower
больному,5.40567,lower
больные,9.700174,lower
больным,9.8203,lower
больных,21.742804,lower
Большая,23.814977,higher
большая,85.559736,lower
Больше,41.833876,higher
больше,705.710156,lower
большевиками,5.465733,lower
большевики,14.294993,lower
большевиков,19.550505,lower
большего,11.862441,lower
большее,19.700662,lower
большей,53.996632,lower
Большие,7.597969,higher
большие,77.030791,lower
больший,7.327685,lower
большим,76.340066,lower
большими,29.460899,lower
большинства,42.644726,lower
большинстве,35.166883,lower
Большинство,28.319702,higher
большинство,77.241011,lower
большинством,5.225481,lower
большинству,8.048441,lower
больших,61.954979,lower
Большого,21.802867,higher
большого,54.597262,lower
Большое,9.099544,higher
большое,63.426522,lower
Большой,45.257466,higher
большой,216.196749,lower
Большом,8.528945,higher
большом,25.646899,lower
большому,17.868741,lower
Большую,9.970457,higher
большую,71.174649,lower
болью,10.63115,lower
бомба,5.766047,lower
бомбы,11.952536,lower
борется,6.42674,lower
Борис,60.213152,higher
Бориса,28.229607,higher
Борисович,8.649071,higher
Борисовна,8.288693,higher
Борисом,5.705984,higher
Борису,6.997339,higher
бормотал,7.928315,lower
бормочет,5.495764,lower
борода,6.036331,lower
бородой,7.958347,lower
бороду,8.82926,lower
боролись,6.907244,lower
боролся,6.156457,lower
бороться,25.767025,lower
борт,11.171717,lower
борта,6.276583,lower
борту,13.394048,lower
Борьба,6.727055,higher
борьба,29.731182,lower
борьбе,38.7106,lower
борьбу,22.433529,lower
борьбы,54.417073,lower
Борька,11.111654,higher
Боря,9.159607,higher
босиком,6.727055,lower
ботинках,5.225481,lower
ботинки,15.165906,lower
ботинок,7.41778,lower
бочки,6.666992,lower
бою,9.880363,lower
Боюсь,7.658032,higher
боюсь,26.007277,lower
боя,15.376127,lower
боялась,19.760725,lower
боялись,15.64641,lower
боялся,31.803356,lower
боясь,12.372977,lower
боятся,16.997827,lower
бояться,18.499402,lower
боях,6.366677,lower
Бразилии,8.22863,higher
брак,20.961985,lower
брака,17.598457,lower
браке,8.769197,lower
брал,22.493592,lower
брала,9.910394,lower
брали,18.85978,lower
Брат,7.928315,higher
брат,67.360649,lower
брата,48.470837,lower
братом,15.826599,lower
братства,5.255512,lower
брату,12.943575,lower
брать,42.044096,lower
братьев,27.118442,lower
Братья,8.258662,higher
братья,28.139513,lower
братьям,5.195449,lower
братьями,8.22863,lower
бревна,5.916205,lower
бред,9.8203,lower
брезгливо,6.186488,lower
бренд,8.22863,lower
бренда,6.937276,lower
брендов,5.856142,lower
бригада,5.045292,lower
бригады,9.279733,lower
Брик,7.718095,higher
Британии,6.877213,higher
британский,5.766047,lower
британских,5.195449,lower
британского,6.757087,lower
британской,6.066362,lower
брови,19.25019,lower
бродил,6.666992,lower
бродили,6.186488,lower
бродит,5.195449,lower
бродить,5.946236,lower
Бродский,13.454111,higher
Бродского,12.04263,higher
бросает,14.355056,lower
бросается,9.129575,lower
бросал,6.126425,lower
бросали,5.736016,lower
бросать,8.22863,lower
бросают,5.345607,lower
бросив,6.877213,lower
бросил,39.641576,lower
бросила,16.337135,lower
бросилась,11.472032,lower
бросили,11.201749,lower
бросились,7.928315,lower
бросился,18.199087,lower
бросить,20.271261,lower
брюк,5.435701,lower
брюках,5.345607,lower
брюки,16.817639,lower
Будем,14.084772,higher
будем,107.963233,lower
Будет,19.430379,higher
будет,994.282814,lower
будете,38.170033,lower
Будешь,7.207559,higher
будешь,62.135168,lower
будки,5.135386,lower
Будто,20.361355,higher
будто,367.735685,lower
Буду,10.42093,higher
буду,137.964699,lower
Будут,7.237591,higher
будут,303.588407,lower
Будучи,11.682252,higher
будучи,44.446616,lower
будущего,67.961278,lower
Будущее,6.276583,higher
будущее,67.270554,lower
будущей,17.147985,lower
будущем,55.708428,lower
будущему,8.258662,lower
будущие,7.868252,lower
будущий,20.45145,lower
будущим,11.381937,lower
будущих,18.469371,lower
Будь,13.904583,higher
будь,44.026175,lower
Будьте,7.327685,higher
будьте,8.168567,lower
букв,17.928804,lower
буква,6.666992,lower
Буквально,6.847181,higher
буквально,78.562397,lower
буквальном,7.988378,lower
буквами,13.874552,lower
букву,8.258662,lower
буквы,31.172694,lower
букет,11.982567,lower
Булат,5.555827,higher
Булгаков,14.084772,higher
Булгакова,10.931465,higher
бульваре,6.21652,lower
бум,6.036331,lower
бумаг,13.814489,lower
бумага,10.120615,lower
бумаге,19.190127,lower
бумаги,51.083577,lower
бумагу,19.520473,lower
бумажки,9.159607,lower
бумажку,8.769197,lower
бумажной,5.01526,lower
бумажные,5.675953,lower
бумажных,5.916205,lower
Бунин,7.778158,higher
Бунина,5.916205,higher
бунт,7.838221,lower
буржуазии,7.267622,lower
буржуазной,5.976268,lower
бури,5.645921,lower
буркнул,7.838221,lower
бурно,8.378788,lower
бусы,5.165418,lower
бут,15.165906,lower
бутерброд,7.718095,lower
бутерброды,6.81715,lower
бутылка,11.141686,lower
бутылке,5.075323,lower
бутылки,24.896111,lower
бутылкой,6.907244,lower
бутылку,36.758553,lower
бутылок,10.270772,lower
буфет,5.195449,lower
бы,2056.316686,lower
